A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,C1,C2
8,3,5,1,0,0,30,7,1,1,0.63,4.5
8,1,10,1,0,1,35,6,1.5,0.5,1,9.5
8,1,5,0,1,0,30,8,1,1,0.6,4.8
8,1,1,1,1,1,40,5,1,1,1.43,15.9
8,3,5,0,0,1,30,8,1.5,0.5,0.64,7.3
8,1,10,0,0,0,35,7,0.5,1.5,2,4.5
8,3,10,0,1,1,35,7,1,1,1,5.6
8,1,1,0,1,0,40,6,1.5,0.5,1,9.9
8,3,5,1,1,0,25,5,0.5,1,0.6,5.6
8,3,5,0,0,0,40,6,0.5,1.5,0.63,1.6
8,1,10,0,0,0,25,5,1,1,0.63,1.4
8,4,1,1,1,1,35,8,1.5,1.5,1,10
8,2,5,1,1,1,40,6,0.5,1,2.4,18.1
8,2,1,0,1,0,35,8,0.5,1.5,0.6,8.1
8,2,10,1,0,1,25,5,1.5,1.5,0.63,8
8,4,1,1,0,0,35,8,1,1,1,5.6
8,2,5,0,1,0,40,7,1.5,0.5,1.4,10
8,4,10,0,1,1,25,6,0.5,1,0.6,5.6
16,2,1,1,1,1,30,5,1,0.5,0.6,11.1
16,4,5,0,0,1,30,5,1.5,1.5,0.64,7.2
16,4,1,1,1,0,25,6,1,0.5,0.6,9.2
16,2,5,0,1,1,30,5,1.5,1.5,0.6,5
16,4,10,0,1,1,40,8,1,0.5,0.6,4.2
16,3,1,1,0,0,25,7,1.5,1.5,0.63,4
16,3,10,0,0,1,40,8,1,0.5,18,12
16,1,1,0,0,1,25,7,0.5,1,0.63,5.7
16,3,5,1,1,0,30,6,1,0.5,0.6,2.8
16,1,10,1,1,0,35,5,1.5,1.5,1.4,8.5
16,1,5,0,0,1,30,6,1,1.5,0.63,5.6
16,3,10,0,0,0,35,5,0.5,1,0.64,1.8
16,1,1,1,0,0,25,8,1,0.5,0.63,6
16,1,1,0,1,0,35,5,0.5,0.5,0.6,9.9
16,3,5,0,1,0,25,8,1.5,1.5,0.6,4.3
16,1,10,1,1,1,30,7,0.5,1,0.6,5.2
16,3,1,1,0,1,35,6,1,0.5,1.4,7.3
16,1,5,0,0,0,25,8,1.5,1,0.63,1.4
24,2,1,1,1,1,35,6,1.5,1.5,0.6,11
24,4,5,1,1,1,40,5,0.5,1,6.6,7.5
24,2,10,0,1,0,30,7,1,1.5,0.6,4.4
24,4,1,0,0,0,35,6,1.5,1,0.63,4.6
24,2,1,0,0,0,35,7,0.5,0.5,0.64,4.7
24,4,10,0,1,1,40,5,1,1.5,3.6,8.2
24,2,1,1,1,1,30,8,1.5,1,0.6,11.4
24,4,5,1,1,0,35,7,1,0.5,0.6,6.7
24,4,1,0,0,1,30,8,0.5,0.5,0.64,7.1
24,2,5,0,0,1,35,7,1,1.5,4,7.1
24,4,10,1,1,0,40,6,1.5,1,0.6,6.7
24,2,1,1,1,0,25,5,1,1.5,0.6,9.1
24,4,5,0,1,1,35,7,1.5,1,0.6,4.9
24,2,10,0,1,1,40,6,0.5,0.5,0.6,5.1
24,3,5,1,0,0,35,8,0.5,0.5,6.4,3.6
24,3,1,0,1,1,25,5,1.5,1,0.6,8.2
24,1,5,0,1,1,25,6,0.5,0.5,0.6,5.1
24,3,10,0,0,0,35,8,1,1.5,3.4,2.4
32,3,5,1,0,1,25,6,0.5,1.5,0.63,8.1
32,1,10,0,1,1,30,5,1,1,0.6,5.1
32,3,10,1,0,1,30,5,1.5,0.5,0.64,5.8
32,3,5,0,0,0,25,7,1.5,1,0.64,1.1
32,1,10,0,0,0,30,5,0.5,0.5,0.64,1.4
32,4,1,1,1,1,40,8,1,1,4,9.5
32,2,5,1,1,1,25,7,1.5,0.5,0.6,4.8
32,4,1,0,1,0,30,6,0.5,1.5,0.6,8.8
32,2,5,0,0,1,40,8,1.5,1,14,8.6
32,2,1,1,0,0,30,6,1,1,0.63,4.6
32,4,5,0,1,0,35,5,1.5,0.5,0.6,4.5
32,4,1,1,1,1,30,6,1.5,0.5,0.6,9.4
32,2,5,1,1,0,35,5,0.5,1.5,0.6,5.2
32,4,10,0,0,0,25,8,1,1,0.63,1.2
32,2,1,0,0,1,30,7,1.5,0.5,0.64,6
32,4,5,1,0,1,35,5,1,1,12.62,9.7
32,2,10,1,1,0,25,8,1.5,0.5,0.6,4.9
32,2,5,0,1,1,35,6,1,1,0.6,5.3
